,PontosCredito,Idade,VinculoEmpresa,DinheiroRestante,NumProdutosComprados,CartaoCredito,MembroAtivo,SalarioEstimado,Pais_France,Pais_Germany,Pais_Spain,Sexo_Male,Sexo_Female,Churn
0,673,37,2,0.0,1,1,1,13624.02,1,0,0,1,0,0
1,731,43,9,79120.27,1,0,0,548.52,0,1,0,0,1,1
2,668,42,8,187534.79,1,1,1,32900.41,1,0,0,1,0,1
3,677,26,3,102395.79,1,1,0,119368.99,0,1,0,0,1,0
4,595,41,9,150463.11,2,0,1,81548.38,0,1,0,0,1,0
5,498,35,2,121968.11,2,0,1,188343.05,0,1,0,1,0,0
6,748,34,5,84009.47,1,1,1,137001.1,1,0,0,1,0,0
7,606,53,1,109330.06,1,1,1,75860.01,0,0,1,0,1,0
8,739,30,6,0.0,1,0,0,122604.44,1,0,0,0,1,0
9,771,33,5,0.0,2,1,0,8673.43,0,0,1,0,1,0
10,595,31,4,0.0,2,1,0,189995.86,1,0,0,1,0,0
11,701,41,10,0.0,2,1,1,146257.77,1,0,0,1,0,0
12,572,36,8,68348.18,2,0,1,50400.32,1,0,0,0,1,0
13,523,30,1,83181.29,1,1,1,138176.78,1,0,0,1,0,0
14,764,24,7,0.0,2,1,0,186105.99,1,0,0,0,1,0
15,767,36,3,0.0,1,0,0,65147.27,1,0,0,1,0,0
16,720,44,4,0.0,2,1,0,163471.01,1,0,0,1,0,0
17,765,32,9,178095.55,1,0,0,47247.56,0,0,1,0,1,0
18,615,30,7,0.0,2,1,1,156346.84,1,0,0,1,0,0
19,582,33,2,122394.0,1,1,1,22113.93,0,1,0,1,0,0
20,447,41,3,0.0,4,1,1,197490.39,1,0,0,1,0,1
21,592,37,9,0.0,3,1,1,10656.89,0,0,1,1,0,0
22,833,32,6,0.0,1,1,1,44323.22,0,0,1,1,0,1
23,771,45,0,139825.56,1,0,0,170984.97,0,0,1,1,0,1
24,594,24,0,97378.54,1,1,1,71405.17,0,0,1,0,1,0
25,537,42,1,190569.23,1,0,1,127154.8,0,0,1,1,0,0
26,567,44,9,0.0,2,1,0,87677.15,0,0,1,1,0,0
27,663,46,2,141726.88,1,1,1,58257.23,0,1,0,0,1,0
28,558,31,7,0.0,2,1,0,166720.28,0,0,1,0,1,0
29,739,25,5,113113.12,1,1,0,129181.27,0,1,0,0,1,0
30,525,47,6,118560.0,1,1,0,82522.61,0,0,1,0,1,1
31,498,34,5,0.0,2,1,1,91711.66,1,0,0,1,0,0
32,562,30,3,111099.79,2,0,0,140650.19,1,0,0,1,0,0
33,615,30,9,0.0,1,1,0,87347.82,1,0,0,0,1,0
34,590,27,8,123599.49,2,1,0,1676.92,0,1,0,0,1,0
35,635,47,2,125724.95,2,1,0,63236.97,1,0,0,0,1,0
36,661,35,8,124098.54,1,1,0,86678.48,0,1,0,1,0,0
37,554,30,6,135370.12,1,1,1,179689.05,0,0,1,1,0,1
38,624,28,2,0.0,2,0,1,104353.26,0,0,1,0,1,0
39,569,43,7,0.0,2,1,1,77703.19,1,0,0,0,1,0
40,511,66,4,0.0,1,1,0,1643.11,0,0,1,0,1,1
41,685,35,9,0.0,1,1,0,167033.83,1,0,0,1,0,0
42,755,37,0,113865.23,2,1,1,117396.25,0,1,0,0,1,0
43,549,29,3,0.0,2,1,0,146090.38,1,0,0,1,0,0
44,639,77,6,80926.02,2,1,1,55829.25,1,0,0,1,0,0
45,597,66,3,0.0,1,1,1,70532.53,0,0,1,0,1,0
46,740,57,3,113386.36,2,1,1,65121.63,0,1,0,0,1,1
47,659,44,9,23503.31,1,0,1,169862.01,1,0,0,0,1,1
48,802,33,8,0.0,2,1,0,143706.18,1,0,0,1,0,0
49,726,50,9,94504.35,1,0,1,5078.9,0,1,0,1,0,0
50,797,55,10,0.0,4,1,1,49418.87,1,0,0,0,1,1
51,702,40,7,145536.9,1,0,1,135334.24,1,0,0,1,0,0
52,593,38,4,88736.44,2,1,0,67020.03,0,0,1,0,1,0
53,686,35,4,0.0,1,1,0,8816.37,1,0,0,1,0,0
54,688,46,0,74458.25,1,0,1,6866.31,0,1,0,0,1,0
55,714,34,5,141173.03,1,0,1,98896.06,1,0,0,1,0,0
56,522,25,5,94049.92,2,1,0,103269.0,0,1,0,0,1,0
57,623,48,1,108076.33,1,1,0,118855.26,0,1,0,0,1,1
58,529,42,1,157498.9,1,1,1,82276.62,1,0,0,1,0,0
59,682,42,0,0.0,1,1,1,160828.98,1,0,0,1,0,0
60,701,35,9,0.0,2,0,0,170996.86,0,0,1,0,1,0
61,679,45,3,146758.24,1,1,0,48466.89,1,0,0,1,0,0
62,777,30,4,137851.31,1,1,0,5008.23,1,0,0,0,1,1
63,592,37,3,96651.03,1,1,1,3232.82,1,0,0,1,0,0
64,521,32,2,136555.01,2,1,1,129353.21,1,0,0,0,1,0
65,545,38,1,88293.13,2,1,1,24302.95,1,0,0,1,0,0
66,666,50,7,109062.28,1,1,1,140136.1,0,1,0,0,1,1
67,676,35,5,106836.67,2,1,0,84199.78,1,0,0,1,0,0
68,579,31,6,0.0,2,1,0,26149.25,1,0,0,1,0,0
69,617,26,2,165947.99,2,0,1,168834.38,1,0,0,0,1,0
70,786,32,2,104336.43,2,0,0,59559.81,0,1,0,0,1,0
71,701,38,3,125385.49,2,0,1,52044.66,0,1,0,1,0,0
72,765,46,8,119492.88,2,0,1,166896.01,0,1,0,0,1,1
73,794,24,10,146126.75,1,1,1,88992.05,1,0,0,1,0,0
74,661,39,5,0.0,2,0,0,181461.46,1,0,0,1,0,0
75,698,57,9,111359.55,2,1,0,105715.01,1,0,0,0,1,0
76,681,47,9,97023.21,1,1,1,2168.13,1,0,0,1,0,0
77,563,36,4,143680.47,2,1,1,63531.19,0,0,1,0,1,0
78,639,66,0,0.0,2,0,1,42240.54,1,0,0,1,0,0
79,614,40,3,113348.5,1,1,1,77789.01,0,0,1,0,1,0
80,711,51,7,0.0,3,1,0,38409.79,1,0,0,1,0,1
81,427,40,8,0.0,2,1,1,82870.75,0,0,1,1,0,0
82,619,30,7,70729.17,1,1,1,160948.87,1,0,0,0,1,0
83,713,38,9,72286.84,2,1,1,26136.89,1,0,0,1,0,0
84,645,33,8,149564.61,1,0,0,149913.84,0,1,0,1,0,0
85,605,41,5,103154.66,1,0,0,143203.78,0,0,1,1,0,0
86,709,45,4,122917.71,1,1,1,11.58,0,1,0,1,0,1
87,526,49,2,0.0,1,1,0,114539.67,0,0,1,1,0,1
88,619,35,4,90413.12,1,1,1,20555.21,1,0,0,0,1,0
89,626,39,10,132287.92,3,1,1,51467.92,0,1,0,1,0,1
90,524,29,7,0.0,2,1,1,105448.74,1,0,0,1,0,0
91,612,62,8,140745.33,1,1,0,193437.89,0,1,0,0,1,1
92,775,32,2,108698.96,2,1,1,161069.73,1,0,0,0,1,0
93,481,39,1,111233.09,1,1,1,123995.15,0,0,1,1,0,0
94,820,33,2,132150.26,2,1,0,23067.97,1,0,0,1,0,0
95,503,42,8,104430.08,1,1,1,147557.71,1,0,0,1,0,0
96,700,82,2,0.0,2,0,1,182055.36,1,0,0,0,1,0
97,763,67,1,149436.73,2,0,1,106282.74,1,0,0,1,0,0
98,652,40,7,100471.34,1,1,1,124550.88,0,0,1,0,1,0
99,623,39,1,160903.2,1,0,0,78774.36,1,0,0,0,1,0
100,765,43,4,148962.76,1,0,1,173878.87,0,1,0,1,0,1
101,573,26,8,86270.93,2,1,1,90177.3,1,0,0,1,0,0
102,558,40,6,0.0,2,1,0,173844.89,1,0,0,1,0,0
103,509,25,3,108738.71,2,1,0,106920.57,0,0,1,0,1,0
104,688,54,9,0.0,1,1,0,191212.63,1,0,0,0,1,1
105,709,24,3,110949.41,1,1,1,168515.61,1,0,0,0,1,0
106,703,73,5,137761.55,1,1,1,159677.46,0,0,1,1,0,0
107,565,52,5,97720.35,2,1,0,175070.94,0,1,0,1,0,1
108,647,35,3,166518.63,2,1,0,147930.46,0,1,0,0,1,0
109,640,33,6,84719.13,2,1,1,113048.79,1,0,0,0,1,0
110,692,30,7,0.0,2,1,1,18826.34,1,0,0,0,1,0
111,584,39,2,112687.69,1,1,1,127749.61,1,0,0,0,1,0
112,665,51,9,110610.41,2,0,1,1112.76,0,1,0,0,1,1
113,809,38,2,154763.21,2,1,1,174800.31,1,0,0,0,1,0
114,657,44,6,76495.04,1,1,0,79071.89,1,0,0,1,0,0
115,630,31,2,112373.49,2,1,1,131167.98,0,1,0,0,1,0
116,710,40,5,0.0,2,0,0,162878.96,1,0,0,1,0,0
117,537,45,7,158621.04,1,1,0,120892.96,1,0,0,0,1,1
118,550,45,8,111257.59,1,0,0,97623.42,0,1,0,0,1,1
119,836,41,7,150302.84,1,1,1,156036.19,0,0,1,0,1,0
120,627,27,1,62092.9,1,1,1,105887.04,1,0,0,1,0,0
121,644,37,6,117271.8,2,1,0,104217.96,1,0,0,1,0,1
122,587,39,6,101851.8,2,1,0,7103.71,0,1,0,0,1,0
123,630,36,8,126598.99,2,1,1,134407.93,1,0,0,0,1,0
124,763,35,7,115651.6,2,1,1,104706.29,1,0,0,0,1,0
125,732,41,8,0.0,2,1,1,170886.17,1,0,0,1,0,0
126,503,25,7,0.0,1,0,1,192841.13,0,0,1,1,0,0
127,595,46,10,0.0,1,1,0,73489.15,1,0,0,1,0,1
128,663,67,9,0.0,3,1,1,72318.77,1,0,0,1,0,0
129,841,74,9,108131.53,1,0,1,60830.38,1,0,0,1,0,0
130,531,64,2,175754.87,2,1,1,60721.4,0,1,0,0,1,0
131,534,33,3,151233.62,1,0,0,199336.63,0,0,1,0,1,0
132,776,37,1,93124.04,2,1,1,196079.32,0,1,0,0,1,0
133,700,38,8,134811.3,1,1,0,1299.75,1,0,0,1,0,0
